order_id,data,produto,categoria,quantidade,preco_unitario,custo_unitario,receita_bruta,desconto_valor,total_venda,lucro
V000143,2024-09-02,Sal Grosso 1kg,Alimentos Básicos,5,11.78,7.07,58.9,2.95,55.95,20.6
V000300,2024-09-03,Ração para Cães 10kg,Pets,6,15.13,10.84,90.78,4.54,86.24,21.2
V000348,2024-09-03,Pão Integral,Padaria,5,44.29,27.02,221.45,11.07,210.38,75.28
V000447,2024-09-03,Biscoito Recheado Morango,Outros,5,64.6,49.29,323.0,16.15,306.85,60.4
V000424,2024-09-03,Pão de Hambúrguer,Padaria,3,103.33,64.98,309.99,15.5,294.49,99.55
V000415,2024-09-03,Pão de Forma Tradicional,Padaria,1,14.8,8.98,14.8,1.48,13.32,4.34
V000574,2024-09-05,"Água com Gás 1,5L",Bebidas,3,72.23,50.47,216.69,0.0,216.69,65.28
V000470,2024-09-05,Desinfetante 1L,Limpeza,5,22.84,15.44,114.2,0.0,114.2,37.0
V000497,2024-09-06,Sabão Líquido 1L,Limpeza,2,67.57,45.01,135.14,6.76,128.38,38.36
V000056,2024-09-07,Patinho (kg),Carnes,3,21.46,16.45,64.38,6.44,57.94,8.59
V000437,2024-09-08,Vinho Branco Seco,Bebidas,5,79.59,58.66,397.95,19.9,378.05,84.75
V000464,2024-09-09,Leite em Pó 400g,Laticínios,1,34.35,23.22,34.35,3.44,30.91,7.69
V000473,2024-09-09,Escova Dental,Higiene,4,72.48,46.32,289.92,0.0,289.92,104.64
V000109,2024-09-10,Biscoito Cream Cracker,Outros,1,75.7,49.03,75.7,3.79,71.91,22.88
V000517,2024-09-10,Queijo Prato (kg),Laticínios,1,55.62,37.25,55.62,0.0,55.62,18.37
V000730,2024-09-11,Cerveja Long Neck,Bebidas,3,80.65,58.74,241.95,0.0,241.95,65.73
V000139,2024-09-11,Farinha de Milho 1kg,Alimentos Básicos,5,92.44,66.67,462.2,46.22,415.98,82.63
V000800,2024-09-13,Margarina 500g,Laticínios,2,87.89,61.3,175.78,8.79,166.99,44.39
V000061,2024-09-14,Café em Cápsulas,Bebidas,1,77.21,59.13,77.21,0.0,77.21,18.08
V000674,2024-09-15,Pão Integral,Padaria,4,38.35,27.0,153.4,15.34,138.06,30.06
V000798,2024-09-15,Biscoito Recheado Morango,Outros,1,24.22,18.41,24.22,0.0,24.22,5.81
V000246,2024-09-18,Queijo Mussarela (kg),Laticínios,3,17.04,11.92,51.12,2.56,48.56,12.8
V000196,2024-09-20,Cerveja Long Neck,Bebidas,3,90.35,60.33,271.05,0.0,271.05,90.06
V000787,2024-09-21,Margarina Light 500g,Laticínios,4,55.78,37.98,223.12,11.16,211.96,60.04
V000320,2024-09-23,Suco Integral Laranja 1L,Bebidas,2,119.57,78.57,239.14,11.96,227.18,70.04
V000590,2024-09-23,Sal Grosso 1kg,Alimentos Básicos,1,114.4,88.19,114.4,11.44,102.96,14.77
V000678,2024-09-24,Fralda Infantil G,Outros,6,114.41,83.55,686.46,0.0,686.46,185.16
V000727,2024-09-24,Fralda Infantil G,Outros,3,4.45,3.44,13.35,1.33,12.02,1.7
V000200,2024-09-25,Álcool 70% 1L,Limpeza,4,99.22,78.19,396.88,0.0,396.88,84.12
V000025,2024-09-26,Detergente Líquido 500ml,Limpeza,2,62.4,38.77,124.8,12.48,112.32,34.78
V000019,2024-09-26,Álcool 70% 1L,Limpeza,4,108.05,73.46,432.2,0.0,432.2,138.36
V000641,2024-09-26,Pão de Hambúrguer,Padaria,3,69.02,43.5,207.06,20.71,186.35,55.85
V000008,2024-09-27,Café Torrado 500g,Bebidas,6,56.75,35.47,340.5,17.03,323.47,110.65
V000199,2024-09-27,Esponja de Aço,Outros,1,56.21,41.29,56.21,5.62,50.59,9.3
V000717,2024-09-27,"Água com Gás 1,5L",Bebidas,1,14.68,9.32,14.68,0.0,14.68,5.36
V000770,2024-09-27,Macarrão Espaguete 500g,Outros,2,71.33,46.44,142.66,7.13,135.53,42.65
V000625,2024-09-28,Pão de Forma Tradicional,Padaria,2,84.1,56.36,168.2,0.0,168.2,55.48
V000530,2024-10-01,Linguiça Toscana (kg),Carnes,3,42.52,30.43,127.56,12.76,114.8,23.51
V000471,2024-10-02,Queijo Prato (kg),Laticínios,3,60.7,37.19,182.1,9.11,172.99,61.42
V000119,2024-10-03,Condicionador 400ml,Higiene,5,93.63,64.88,468.15,46.81,421.34,96.94
V000570,2024-10-04,Leite em Pó 400g,Laticínios,5,46.62,32.65,233.1,0.0,233.1,69.85
V000584,2024-10-05,Pão Francês (kg),Padaria,1,113.4,71.13,113.4,11.34,102.06,30.93
V000134,2024-10-07,Café Torrado 500g,Bebidas,1,67.74,50.09,67.74,0.0,67.74,17.65
V000260,2024-10-08,Sabonete Barra,Higiene,1,44.18,27.16,44.18,2.21,41.97,14.81
V000472,2024-10-09,Refrigerante Cola 2L,Bebidas,3,59.66,36.71,178.98,8.95,170.03,59.9
V000124,2024-10-09,Papel Toalha 2un,Outros,1,63.45,40.49,63.45,0.0,63.45,22.96
V000523,2024-10-10,Fralda Infantil G,Outros,2,85.07,53.3,170.14,0.0,170.14,63.54
V000555,2024-10-11,Óleo de Soja 900ml,Alimentos Básicos,3,12.25,9.61,36.75,0.0,36.75,7.92
V000371,2024-10-12,Papel Toalha 2un,Outros,3,29.31,23.29,87.93,4.4,83.53,13.66
V000072,2024-10-12,Leite Desnatado 1L,Laticínios,3,44.08,30.94,132.24,13.22,119.02,26.2
V000121,2024-10-12,Suco Integral Laranja 1L,Bebidas,2,90.81,64.84,181.62,18.16,163.46,33.78
V000145,2024-10-16,"Água Mineral 1,5L",Bebidas,1,83.42,65.47,83.42,8.34,75.08,9.61
V000269,2024-10-17,Chocolate Barra 90g,Outros,6,102.63,81.37,615.78,61.58,554.2,65.98
V000386,2024-10-18,"Água Mineral 1,5L",Bebidas,6,66.57,46.52,399.42,0.0,399.42,120.3
V000285,2024-10-18,Óleo de Soja 900ml,Alimentos Básicos,2,34.92,27.27,69.84,0.0,69.84,15.3
V000045,2024-10-19,Refrigerante Guaraná 2L,Bebidas,6,115.01,91.9,690.06,69.01,621.05,69.65
V000095,2024-10-19,Cereal Matinal 300g,Outros,3,42.29,32.93,126.87,0.0,126.87,28.08
V000764,2024-10-21,Gelo 5kg,Outros,6,8.5,5.75,51.0,2.55,48.45,13.95
V000372,2024-10-22,Pão de Forma Tradicional,Padaria,6,85.48,56.71,512.88,25.64,487.24,146.98
V000352,2024-10-22,Leite em Pó 400g,Laticínios,4,62.0,46.68,248.0,12.4,235.6,48.88
V000718,2024-10-24,Carne Moída (kg),Carnes,6,39.59,29.6,237.54,0.0,237.54,59.94
V000513,2024-10-26,Açúcar Cristal 5kg,Alimentos Básicos,3,29.31,19.28,87.93,4.4,83.53,25.69
V000752,2024-10-28,Suco Integral Laranja 1L,Bebidas,2,19.17,13.81,38.34,3.83,34.51,6.89
V000629,2024-10-28,Feijão Preto 1kg,Alimentos Básicos,3,33.55,20.83,100.65,5.03,95.62,33.13
V000189,2024-10-29,Feijão Preto 1kg,Alimentos Básicos,6,49.31,29.67,295.86,29.59,266.27,88.25
V000389,2024-10-29,Guardanapo 50un,Outros,6,91.6,58.18,549.6,54.96,494.64,145.56
V000793,2024-10-29,Fralda Infantil P,Outros,2,37.87,29.44,75.74,7.57,68.17,9.29
V000781,2024-10-30,Fralda Infantil G,Outros,2,40.48,24.95,80.96,0.0,80.96,31.06
V000340,2024-10-31,"Água Mineral 1,5L",Bebidas,1,83.57,52.78,83.57,4.18,79.39,26.61
V000026,2024-11-01,Fralda Infantil P,Outros,5,74.25,46.82,371.25,0.0,371.25,137.15
V000358,2024-11-02,Sabonete Barra,Higiene,3,62.36,43.77,187.08,9.35,177.73,46.42
V000058,2024-11-02,Ração para Cães 10kg,Pets,1,112.85,70.74,112.85,0.0,112.85,42.11
V000420,2024-11-03,Iogurte Integral 170g,Laticínios,1,68.14,48.95,68.14,6.81,61.33,12.38
V000534,2024-11-05,Arroz Integral 1kg,Alimentos Básicos,3,13.92,9.36,41.76,0.0,41.76,13.68
V000057,2024-11-05,Condicionador 400ml,Higiene,6,64.89,47.6,389.34,38.93,350.41,64.81
V000430,2024-11-06,Feijão Carioca 1kg,Alimentos Básicos,2,112.65,89.27,225.3,0.0,225.3,46.76
V000082,2024-11-07,Iogurte Grego,Laticínios,2,53.3,38.16,106.6,10.66,95.94,19.62
V000204,2024-11-07,Vinho Branco Seco,Bebidas,1,14.37,11.17,14.37,0.0,14.37,3.2
V000796,2024-11-08,Pão de Forma Tradicional,Padaria,6,89.75,66.88,538.5,0.0,538.5,137.22
V000071,2024-11-08,Pão Francês (kg),Padaria,2,5.77,3.68,11.54,0.58,10.96,3.6
V000347,2024-11-11,Vinho Branco Seco,Bebidas,1,13.54,9.19,13.54,0.68,12.86,3.67
V000433,2024-11-11,Chocolate em Pó 200g,Outros,3,63.0,44.07,189.0,0.0,189.0,56.79
V000281,2024-11-12,Cerveja Lata 350ml,Bebidas,2,46.04,36.35,92.08,4.6,87.48,14.78
V000271,2024-11-13,Fralda Infantil G,Outros,6,80.47,50.36,482.82,48.28,434.54,132.38
V000240,2024-11-15,Linguiça Toscana (kg),Carnes,5,72.76,56.51,363.8,0.0,363.8,81.25
V000699,2024-11-15,Macarrão Espaguete 500g,Outros,1,47.88,34.37,47.88,0.0,47.88,13.51
V000346,2024-11-16,Biscoito Recheado Morango,Outros,2,61.3,43.09,122.6,6.13,116.47,30.29
V000318,2024-11-17,Fralda Infantil G,Outros,3,32.2,20.05,96.6,9.66,86.94,26.79
V000075,2024-11-17,Refrigerante Laranja 2L,Bebidas,5,118.16,73.63,590.8,59.08,531.72,163.57
V000583,2024-11-18,Ovos Brancos Dúzia,Outros,6,100.33,66.74,601.98,30.1,571.88,171.44
V000017,2024-11-18,Pão Integral,Padaria,6,61.41,47.71,368.46,36.85,331.61,45.35
V000545,2024-11-18,Macarrão Penne 500g,Outros,2,35.41,21.84,70.82,7.08,63.74,20.06
V000259,2024-11-19,Extrato de Tomate 140g,Outros,4,10.99,7.57,43.96,2.2,41.76,11.48
V000495,2024-11-22,Leite Desnatado 1L,Laticínios,3,8.23,6.11,24.69,0.0,24.69,6.36
V000604,2024-11-22,Sabonete Líquido,Higiene,2,6.43,4.9,12.86,0.64,12.22,2.42
V000342,2024-11-22,Peito de Frango (kg),Carnes,4,18.3,12.34,73.2,7.32,65.88,16.52
V000660,2024-11-24,Iogurte Natural 170g,Laticínios,6,51.76,37.74,310.56,0.0,310.56,84.12
V000310,2024-11-24,Manteiga 200g,Laticínios,1,41.37,27.27,41.37,2.07,39.3,12.03
V000170,2024-11-25,Biscoito Recheado Morango,Outros,6,30.94,20.93,185.64,9.28,176.36,50.78
V000083,2024-11-25,"Água com Gás 1,5L",Bebidas,4,54.73,35.18,218.92,10.95,207.97,67.25
V000332,2024-11-26,Pão de Hambúrguer,Padaria,3,113.86,80.13,341.58,17.08,324.5,84.11
V000181,2024-11-28,Leite Integral 1L,Laticínios,3,44.94,30.84,134.82,0.0,134.82,42.3
V000202,2024-12-01,Condicionador 400ml,Higiene,2,78.78,57.28,157.56,7.88,149.68,35.12
V000214,2024-12-02,Molho de Tomate 340g,Outros,5,3.33,2.57,16.65,0.0,16.65,3.8
V000078,2024-12-04,Creme Dental 90g,Higiene,3,80.62,50.38,241.86,12.09,229.77,78.63
V000733,2024-12-04,Iogurte Integral 170g,Laticínios,1,62.31,44.25,62.31,3.12,59.19,14.94
V000633,2024-12-05,Pão de Forma Tradicional,Padaria,2,50.89,36.17,101.78,10.18,91.6,19.26
V000155,2024-12-07,Linguiça Toscana (kg),Carnes,6,15.24,9.63,91.44,4.57,86.87,29.09
V000085,2024-12-09,Óleo de Milho 900ml,Alimentos Básicos,2,81.72,52.7,163.44,0.0,163.44,58.04
V000102,2024-12-10,Ração para Gatos 3kg,Pets,6,96.38,71.79,578.28,28.91,549.37,118.63
V000106,2024-12-11,Alcatra (kg),Carnes,3,90.99,69.73,272.97,13.65,259.32,50.13
V000336,2024-12-11,Guardanapo 50un,Outros,1,99.55,60.29,99.55,0.0,99.55,39.26
V000631,2024-12-12,Sabonete Líquido,Higiene,5,107.51,79.65,537.55,26.88,510.67,112.42
V000237,2024-12-13,Peito de Frango (kg),Carnes,1,24.22,15.23,24.22,2.42,21.8,6.57
V000167,2024-12-14,Detergente Líquido 500ml,Limpeza,3,99.0,65.0,297.0,14.85,282.15,87.15
V000702,2024-12-16,Vinho Tinto Seco,Bebidas,3,90.76,57.45,272.28,13.61,258.67,86.32
V000369,2024-12-16,Esponja Multiuso,Outros,3,82.08,63.49,246.24,24.62,221.62,31.15
V000496,2024-12-17,Fralda Infantil M,Outros,1,82.23,52.04,82.23,8.22,74.01,21.97
V000060,2024-12-17,Pão de Forma Tradicional,Padaria,6,77.21,50.4,463.26,23.16,440.1,137.7
V000654,2024-12-18,Margarina Light 500g,Laticínios,3,47.82,33.34,143.46,14.35,129.11,29.09
V000603,2024-12-18,Guardanapo 50un,Outros,5,40.63,26.58,203.15,0.0,203.15,70.25
V000186,2024-12-19,Sabonete Barra,Higiene,3,77.76,53.25,233.28,11.66,221.62,61.87
V000561,2024-12-21,Sabão Líquido 1L,Limpeza,5,94.61,70.4,473.05,0.0,473.05,121.05
V000323,2024-12-21,Leite Desnatado 1L,Laticínios,5,66.43,51.7,332.15,0.0,332.15,73.65
V000519,2024-12-25,Condicionador 400ml,Higiene,6,53.1,38.4,318.6,0.0,318.6,88.2
V000255,2024-12-25,Fralda Infantil M,Outros,2,30.64,19.28,61.28,0.0,61.28,22.72
V000129,2024-12-26,"Água Mineral 1,5L",Bebidas,3,38.87,25.11,116.61,11.66,104.95,29.62
V000296,2024-12-27,Cereal Matinal 300g,Outros,5,51.74,37.92,258.7,0.0,258.7,69.1
V000312,2024-12-27,Condicionador 400ml,Higiene,4,35.12,27.96,140.48,0.0,140.48,28.64
V000468,2024-12-28,Papel Higiênico 12un,Outros,1,72.84,55.13,72.84,3.64,69.2,14.07
V000231,2024-12-28,Ração para Gatos 3kg,Pets,4,104.57,77.82,418.28,20.91,397.37,86.09
V000487,2024-12-29,Sal Refinado 1kg,Alimentos Básicos,6,74.68,53.22,448.08,44.81,403.27,83.95
V000687,2024-12-29,Pão de Hambúrguer,Padaria,6,104.96,71.8,629.76,31.49,598.27,167.47
V000790,2025-01-01,Detergente Líquido 500ml,Limpeza,1,36.91,27.21,36.91,3.69,33.22,6.01
V000773,2025-01-01,Leite em Pó 400g,Laticínios,6,40.19,25.88,241.14,0.0,241.14,85.86
V000066,2025-01-01,Pão de Forma Tradicional,Padaria,6,32.19,19.98,193.14,19.31,173.83,53.95
V000684,2025-01-02,Detergente Líquido 500ml,Limpeza,3,101.91,78.28,305.73,30.57,275.16,40.32
V000609,2025-01-02,Sabonete Barra,Higiene,1,85.3,57.18,85.3,8.53,76.77,19.59
V000776,2025-01-04,Queijo Mussarela (kg),Laticínios,2,114.19,82.63,228.38,11.42,216.96,51.7
V000274,2025-01-05,Feijão Preto 1kg,Alimentos Básicos,3,39.14,30.93,117.42,5.87,111.55,18.76
V000028,2025-01-06,Presunto Cozido (kg),Outros,2,9.78,7.59,19.56,0.0,19.56,4.38
V000502,2025-01-09,Linguiça Toscana (kg),Carnes,2,56.53,36.88,113.06,5.65,107.41,33.65
V000396,2025-01-11,Condicionador 400ml,Higiene,2,28.64,17.95,57.28,0.0,57.28,21.38
V000234,2025-01-11,Farinha de Trigo 1kg,Alimentos Básicos,3,70.17,53.43,210.51,21.05,189.46,29.17
V000767,2025-01-11,Sabonete Barra,Higiene,5,89.4,57.15,447.0,44.7,402.3,116.55
V000527,2025-01-12,"Água Mineral 1,5L",Bebidas,4,41.29,24.79,165.16,16.52,148.64,49.48
V000573,2025-01-12,Biscoito Cream Cracker,Outros,3,68.97,45.57,206.91,20.69,186.22,49.51
V000111,2025-01-12,Sal Refinado 1kg,Alimentos Básicos,5,74.05,55.51,370.25,0.0,370.25,92.7
V000427,2025-01-14,Óleo de Milho 900ml,Alimentos Básicos,5,87.78,56.01,438.9,21.95,416.95,136.9
V000535,2025-01-15,Ração para Gatos 3kg,Pets,6,22.37,15.2,134.22,6.71,127.51,36.31
V000317,2025-01-15,Suco Integral Uva 1L,Bebidas,1,70.15,49.52,70.15,3.51,66.64,17.12
V000284,2025-01-15,Papel Higiênico 12un,Outros,1,86.23,60.64,86.23,0.0,86.23,25.59
V000562,2025-01-15,Macarrão Espaguete 500g,Outros,6,94.39,61.71,566.34,0.0,566.34,196.08
V000688,2025-01-15,Chocolate em Pó 200g,Outros,5,37.4,28.81,187.0,9.35,177.65,33.6
V000299,2025-01-17,Chocolate Barra 90g,Outros,6,4.9,3.71,29.4,1.47,27.93,5.67
V000697,2025-01-17,Feijão Carioca 1kg,Alimentos Básicos,3,91.55,64.65,274.65,0.0,274.65,80.7
V000354,2025-01-17,Frango Inteiro (kg),Carnes,5,112.86,84.76,564.3,0.0,564.3,140.5
V000288,2025-01-18,Pão de Hambúrguer,Padaria,1,40.29,24.97,40.29,4.03,36.26,11.29
V000409,2025-01-19,Óleo de Soja 900ml,Alimentos Básicos,6,115.8,89.73,694.8,0.0,694.8,156.42
V000479,2025-01-20,Iogurte Integral 170g,Laticínios,4,45.71,35.95,182.84,0.0,182.84,39.04
V000428,2025-01-21,Areia Sanitária Gatos,Pets,5,73.54,56.97,367.7,0.0,367.7,82.85
V000619,2025-01-22,Presunto Cozido (kg),Outros,6,83.55,52.26,501.3,50.13,451.17,137.61
V000122,2025-01-23,Frango Inteiro (kg),Carnes,1,60.83,40.45,60.83,3.04,57.79,17.34
V000475,2025-01-24,Salsicha Hot Dog,Alimentos Básicos,4,42.16,32.17,168.64,16.86,151.78,23.1
V000640,2025-01-25,Patinho (kg),Carnes,2,55.16,36.0,110.32,5.52,104.8,32.8
V000779,2025-01-25,Farinha de Trigo 1kg,Alimentos Básicos,4,33.02,24.59,132.08,0.0,132.08,33.72
V000392,2025-01-27,Cereal Matinal 300g,Outros,4,91.19,72.11,364.76,18.24,346.52,58.08
V000316,2025-01-27,Guardanapo 50un,Outros,1,73.8,54.3,73.8,3.69,70.11,15.81
V000511,2025-01-28,Papel Toalha 2un,Outros,5,79.41,54.14,397.05,19.85,377.2,106.5
V000022,2025-01-29,Alcatra (kg),Carnes,5,119.55,84.38,597.75,59.78,537.97,116.07
V000172,2025-01-30,Ração para Cães 10kg,Pets,6,117.76,82.32,706.56,0.0,706.56,212.64
V000267,2025-01-31,Margarina Light 500g,Laticínios,3,82.43,50.32,247.29,24.73,222.56,71.6
V000750,2025-01-31,Ração para Cães 10kg,Pets,5,73.92,49.11,369.6,18.48,351.12,105.57
V000426,2025-02-01,Achocolatado em Pó 400g,Outros,3,26.79,19.54,80.37,4.02,76.35,17.73
V000205,2025-02-01,"Água Mineral 1,5L",Bebidas,3,81.45,60.98,244.35,24.44,219.91,36.97
V000100,2025-02-03,Refrigerante Cola 2L,Bebidas,5,90.46,64.16,452.3,45.23,407.07,86.27
V000548,2025-02-05,Queijo Mussarela (kg),Laticínios,6,9.38,7.31,56.28,0.0,56.28,12.42
V000635,2025-02-06,Desinfetante 1L,Limpeza,5,101.26,63.87,506.3,25.32,480.98,161.63
V000374,2025-02-08,Peito de Frango (kg),Carnes,2,36.98,24.32,73.96,7.4,66.56,17.92
V000597,2025-02-08,Vinho Branco Seco,Bebidas,1,47.78,32.75,47.78,2.39,45.39,12.64
V000253,2025-02-09,Presunto Cozido (kg),Outros,6,42.72,28.48,256.32,0.0,256.32,85.44
V000448,2025-02-10,Óleo de Soja 900ml,Alimentos Básicos,3,115.24,79.72,345.72,0.0,345.72,106.56
V000461,2025-02-10,Linguiça Toscana (kg),Carnes,1,77.19,58.41,77.19,3.86,73.33,14.92
V000675,2025-02-10,Álcool 70% 1L,Limpeza,1,3.86,3.09,3.86,0.19,3.67,0.58
V000553,2025-02-11,Detergente Líquido 500ml,Limpeza,3,76.54,53.59,229.62,11.48,218.14,57.37
V000307,2025-02-13,Suco Integral Uva 1L,Bebidas,4,42.67,27.2,170.68,17.07,153.61,44.81
V000238,2025-02-14,Leite Desnatado 1L,Laticínios,2,89.69,71.25,179.38,0.0,179.38,36.88
V000734,2025-02-16,Cereal Matinal 300g,Outros,1,56.71,43.11,56.71,2.84,53.87,10.76
V000040,2025-02-16,Frango Inteiro (kg),Carnes,1,32.09,20.47,32.09,1.6,30.49,10.02
V000696,2025-02-17,Refrigerante Guaraná 2L,Bebidas,4,47.85,29.07,191.4,0.0,191.4,75.12
V000680,2025-02-17,Ração para Cães 10kg,Pets,3,82.65,61.51,247.95,24.8,223.15,38.62
V000127,2025-02-18,Gelo 5kg,Outros,2,38.83,27.81,77.66,3.88,73.78,18.16
V000250,2025-02-18,Fralda Infantil P,Outros,4,36.87,25.11,147.48,7.37,140.11,39.67
V000390,2025-02-19,Refrigerante Guaraná 2L,Bebidas,5,41.37,28.14,206.85,0.0,206.85,66.15
V000067,2025-02-20,Creme Dental 90g,Higiene,6,21.08,16.57,126.48,0.0,126.48,27.06
V000125,2025-02-20,Vinho Tinto Seco,Bebidas,5,91.71,67.69,458.55,45.86,412.69,74.24
V000423,2025-02-22,Extrato de Tomate 140g,Outros,3,47.05,35.33,141.15,7.06,134.09,28.1
V000482,2025-02-22,Areia Sanitária Gatos,Pets,4,19.28,12.74,77.12,3.86,73.26,22.3
V000407,2025-02-22,Biscoito Recheado Chocolate,Outros,2,92.6,73.68,185.2,18.52,166.68,19.32
V000670,2025-02-23,Sabão em Pó 1kg,Limpeza,1,104.16,82.64,104.16,10.42,93.74,11.1
V000366,2025-02-24,Detergente Líquido 500ml,Limpeza,5,110.7,85.74,553.5,55.35,498.15,69.45
V000580,2025-02-26,Patinho (kg),Carnes,4,117.02,72.2,468.08,0.0,468.08,179.28
V000797,2025-02-26,Fralda Infantil M,Outros,5,19.67,12.53,98.35,9.84,88.51,25.86
V000691,2025-02-27,Café em Cápsulas,Bebidas,2,19.07,12.21,38.14,1.91,36.23,11.81
V000627,2025-02-27,Vinho Branco Seco,Bebidas,4,44.09,29.76,176.36,8.82,167.54,48.5
V000287,2025-02-28,Café em Cápsulas,Bebidas,4,61.73,39.95,246.92,0.0,246.92,87.12
V000227,2025-03-01,Margarina 500g,Laticínios,3,52.93,38.8,158.79,7.94,150.85,34.45
V000512,2025-03-01,Suco Integral Uva 1L,Bebidas,4,22.57,16.09,90.28,0.0,90.28,25.92
V000436,2025-03-03,Queijo Mussarela (kg),Laticínios,2,25.95,16.76,51.9,5.19,46.71,13.19
V000644,2025-03-04,Esponja de Aço,Outros,6,104.43,72.58,626.58,0.0,626.58,191.1
V000345,2025-03-04,Achocolatado em Pó 400g,Outros,2,98.18,77.24,196.36,19.64,176.72,22.24
V000485,2025-03-04,Esponja Multiuso,Outros,1,95.51,64.17,95.51,9.55,85.96,21.79
V000751,2025-03-04,Shampoo 400ml,Higiene,6,92.2,60.37,553.2,27.66,525.54,163.32
V000051,2025-03-05,Ração para Cães 10kg,Pets,5,69.13,45.85,345.65,17.28,328.37,99.12
V000569,2025-03-05,Pão de Hambúrguer,Padaria,3,32.05,25.1,96.15,4.81,91.34,16.04
V000652,2025-03-05,Farinha de Trigo 1kg,Alimentos Básicos,4,20.51,14.63,82.04,8.2,73.84,15.32
V000206,2025-03-05,Sabonete Barra,Higiene,6,88.01,68.39,528.06,52.81,475.25,64.91
V000551,2025-03-06,Carne Moída (kg),Carnes,5,82.9,62.39,414.5,0.0,414.5,102.55
V000408,2025-03-06,Patinho (kg),Carnes,4,55.48,43.46,221.92,11.1,210.82,36.98
V000709,2025-03-06,Ração para Cães 10kg,Pets,1,80.51,52.65,80.51,8.05,72.46,19.81
V000554,2025-03-09,Ovos Caipira Dúzia,Outros,1,77.94,55.14,77.94,0.0,77.94,22.8
V000242,2025-03-10,Vinho Tinto Seco,Bebidas,5,54.72,35.82,273.6,27.36,246.24,67.14
V000089,2025-03-11,Pão de Hambúrguer,Padaria,2,97.08,71.76,194.16,9.71,184.45,40.93
V000141,2025-03-15,Presunto Cozido (kg),Outros,5,75.66,54.62,378.3,37.83,340.47,67.37
V000226,2025-03-16,Suco Integral Laranja 1L,Bebidas,2,51.42,39.36,102.84,5.14,97.7,18.98
V000350,2025-03-17,Macarrão Penne 500g,Outros,3,88.12,66.33,264.36,13.22,251.14,52.15
V000499,2025-03-18,Ovos Brancos Dúzia,Outros,1,89.27,69.33,89.27,4.46,84.81,15.48
V000229,2025-03-18,Margarina 500g,Laticínios,6,89.44,68.18,536.64,53.66,482.98,73.9
V000154,2025-03-22,Fralda Infantil P,Outros,4,116.38,80.77,465.52,23.28,442.24,119.16
V000252,2025-03-23,Manteiga 200g,Laticínios,2,53.97,36.7,107.94,0.0,107.94,34.54
V000617,2025-03-23,Fralda Infantil P,Outros,4,78.95,50.12,315.8,31.58,284.22,83.74
V000286,2025-03-23,Óleo de Milho 900ml,Alimentos Básicos,2,98.55,76.57,197.1,0.0,197.1,43.96
V000720,2025-03-24,Creme Dental 90g,Higiene,3,105.78,65.43,317.34,15.87,301.47,105.18
V000266,2025-03-25,Amaciante 2L,Limpeza,5,74.35,50.02,371.75,18.59,353.16,103.06
V000518,2025-03-25,Farinha de Milho 1kg,Alimentos Básicos,2,27.56,20.6,55.12,5.51,49.61,8.41
V000516,2025-03-27,Esponja Multiuso,Outros,2,118.8,73.71,237.6,23.76,213.84,66.42
V000063,2025-03-28,Papel Higiênico 12un,Outros,6,53.04,31.93,318.24,0.0,318.24,126.66
V000661,2025-03-28,Pão Integral,Padaria,4,89.69,67.44,358.76,17.94,340.82,71.06
V000042,2025-03-29,Papel Higiênico 12un,Outros,1,8.92,7.13,8.92,0.0,8.92,1.79
V000538,2025-03-31,Feijão Carioca 1kg,Alimentos Básicos,1,84.38,64.42,84.38,4.22,80.16,15.74
V000322,2025-03-31,Óleo de Milho 900ml,Alimentos Básicos,6,116.2,92.65,697.2,69.72,627.48,71.58
V000466,2025-03-31,Carne Moída (kg),Carnes,3,14.96,9.24,44.88,2.24,42.64,14.92
V000467,2025-04-04,Papel Toalha 2un,Outros,5,62.96,39.08,314.8,0.0,314.8,119.4
V000005,2025-04-04,Sabonete Barra,Higiene,3,97.7,58.75,293.1,0.0,293.1,116.85
V000261,2025-04-07,Açúcar Cristal 5kg,Alimentos Básicos,1,46.14,30.33,46.14,4.61,41.53,11.2
V000762,2025-04-08,Manteiga 200g,Laticínios,5,104.56,78.2,522.8,0.0,522.8,131.8
V000403,2025-04-09,Macarrão Espaguete 500g,Outros,5,51.6,36.78,258.0,25.8,232.2,48.3
V000397,2025-04-10,Shampoo 400ml,Higiene,3,51.65,36.66,154.95,7.75,147.2,37.22
V000087,2025-04-11,Refrigerante Cola 2L,Bebidas,6,70.35,52.32,422.1,21.11,400.99,87.07
V000187,2025-04-12,Queijo Prato (kg),Laticínios,2,119.93,92.43,239.86,0.0,239.86,55.0
V000745,2025-04-13,Biscoito Recheado Morango,Outros,6,42.54,31.97,255.24,0.0,255.24,63.42
V000018,2025-04-14,Molho de Tomate 340g,Outros,3,19.34,14.49,58.02,5.8,52.22,8.75
V000388,2025-04-14,Fralda Infantil M,Outros,3,87.08,52.49,261.24,13.06,248.18,90.71
V000532,2025-04-15,Feijão Preto 1kg,Alimentos Básicos,1,111.74,70.57,111.74,5.59,106.15,35.58
V000413,2025-04-16,Peito de Frango (kg),Carnes,2,35.25,27.76,70.5,7.05,63.45,7.93
V000282,2025-04-17,Iogurte Grego,Laticínios,4,61.84,42.28,247.36,0.0,247.36,78.24
V000481,2025-04-17,Pão de Forma Tradicional,Padaria,4,96.33,73.81,385.32,0.0,385.32,90.08
